Feature Name,Data Type,Description,Status,Created At,Created By,Updated At,Updated By,Destination Table,Update Window,Version,Query Path,Dependent Features,Weight,Is Risk,Query,Is Active,Source Table,Feature ID
bio_mfc_face_adult_as_child_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Adult Enrolling as a Child verdict for face,PROD,"24/2/2026, 1:00 PM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_face_adult_enrolling_as_a_child=true]",,,,,strot.operator360.bio_mfc_face_fraud_refids,bio_mfc_face_adult_as_child_incidents_24h_v1
bio_mfc_left_iris_fraud_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having unsystematic verdict for left iris,PROD,"24/2/2026, 1:00 PM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_left_iris_fraud=true]",,,,,strot.operator360.bio_mfc_iris_fraud_refids,bio_mfc_left_iris_fraud_incidents_24h_v1
bio_mfc_left_iris_pop_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Photo on Photo verdict for left iris,PROD,"24/2/2026, 1:00 PM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_left_iris_photo_on_photo=true]",,,,,strot.operator360.bio_mfc_iris_fraud_refids,bio_mfc_left_iris_pop_incidents_24h_v1
bio_mfc_left_slap_swap_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Swapped verdict for left slap,PROD,"24/2/2026, 12:54 PM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_left_slap_swap=true]",,,,,strot.operator360.bio_mfc_slap_fraud_refids,bio_mfc_left_slap_swap_incidents_24h_v1
bio_mfc_right_slap_fraud_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having unsystematic verdict for right slap,PROD,"24/2/2026, 12:58 PM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:is_right_slap_fraud=true]",,,,,strot.operator360.bio_mfc_slap_fraud_refids,bio_mfc_right_slap_fraud_incidents_24h_v1
bio_mfc_both_thumbs_fraud_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having unsystematic verdict for both thumbs,STAGING,"24/2/2026, 12:59 PM",saksham.nisg,,,strot.operator360.opt_features_test,24h,1,,"[period_in_days:1, filter_condition:is_both_thumbs_fraud=true]",,,,,strot.operator360.bio_mfc_slap_fraud_refids,bio_mfc_both_thumbs_fraud_incidents_24h_v1
bio_mfc_finger_fraud_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having unsystematic verdict for slap or thumb,PROD,"24/2/2026, 1:09 PM",saksham.nisg,,,strot.operator360.features_bio_v1,24h,1,,"[period_in_days:1, filter_condition:(is_left_slap_fraud=true or is_right_slap_fraud=true or is_both_thumbs_fraud=true)]",,,,,,bio_mfc_finger_fraud_incidents_24h_v1
bio_mfc_both_thumbs_swap_incidents,double,Fraudulent packets identified in MFC for the operator on the previous day having Swapped verdict for both thumbs,STAGING,"24/2/2026, 1:03 PM",saksham.nisg,,,strot.operator360.opt_features_test,24h,1,,"[period_in_days:1, filter_condition:is_both_thumbs_swap=true]",,,,,strot.operator360.bio_mfc_slap_fraud_refids,bio_mfc_both_thumbs_swap_incidents_24h_v1
auth_biomismatch_incidents,double,Daily Instances of Bio Mismatch in Operator Authentications,PROD,"16/2/2026, 12:21 PM",priyanshug.nisg,"19/2/2026, 12:55 PM",saksham.nisg,strot.operator360.features_auth_v1,24h,1,,[period_in_days:1],,,,,flink_stream.operator360.opt_auth_txn_v3,auth_biomismatch_incidents_24h_v1
hardware_machine_change_instances,integer,Number of machine ids which have been changed and operator have worked on them,PROD,"13/2/2026, 10:08 AM",priyanshug.nisg,,,strot.operator360.features_hardware_v1,24h,1,,[min_pkt_date:2020-01-01],,,,,flink_stream.analytics_enu.machine_hardware_trust_change,hardware_machine_change_instances_v1
