Event ID,Auth Code,Event Timestamp,Req Date Time,Opt ID,Enrolment Reference ID,Aua,Sa,Asa,Auth Result,Error Code,Sub Error Code,Auth Duration,Auth Type,Registered Device Software ID,Registered Device Software Version,Device Provider ID,Model ID,Device Code,Cert Expiry Date,Device Meta Data,Pid Size,Face Match Score,Face Match Type,Face Sdk Version,Face Used,Face Fusion Done,Fdc,Finger Match Threshold,Fmr Sdk Version,Finger Match Score,Fmr Count,Fir Count,Finger Fusion Performed,Idc,Iris Fusion Performed,Location State Code,Location District Code,Resident State Code,Resident District Code,Otp Identifier,Server ID,Kafka Source Timestamp
test-d1cb01e9-9002-4405-95bc-84fac44c7240,db0762c3ccb145a9a3f9f0572eefdfba,"18/4/2026, 9:45:00 PM","18/4/2026, 9:45:00 PM",UPPRD_KHERI_NS917529,92507a3c-a255-40c6-b99b-a30fed5b5a38,3440000,3440000,1800,n,,,4,D,NA,NA,MANTRA_MFS100,NA,NA,20280813,0,326,0,,,0,0,,0,,0,0,0,0,,0,,,9,146,,uid-auth-server-mndc-prod,"18/4/2026, 9:45:00 PM"
test-61846ac4-3ffd-45f9-aba4-a029916c8d00,db0762c3ccb145a9a3f9f0572eefdfbb,"18/4/2026, 9:45:01 PM","18/4/2026, 9:45:01 PM",UPPRD_KHERI_NS917529,90b67128-fb40-4a67-b57b-e34bfacbb53b,3440000,3440000,1800,n,,,4,D,NA,NA,SECUGEN_HAMSTER,NA,NA,20280813,0,326,0,,,0,0,,0,,0,0,0,0,,0,,,9,152,,uid-auth-server-mndc-prod,"18/4/2026, 9:45:01 PM"
test-7caaad6e-51b1-41bf-b915-42e5e3eeb2b8,db0762c3ccb145a9a3f9f0572eefba,"18/4/2026, 9:45:03 PM","18/4/2026, 9:45:03 PM",UPPRD_KHERI_NS917529,8aaa2b97-e6ce-4ed2-acce-fb2c6e691e50,3440000,3440000,1800,n,,,4,D,NA,NA,STARTEK_FM220,NA,NA,20280813,0,326,0,,,0,0,,0,,0,0,0,0,,0,,,9,178,,uid-auth-server-mndc-prod,"18/4/2026, 9:45:03 PM"
test-29637c04-e08a-4480-8a63-d7c34226c687,db0762c3ccb145a9a3f9f057eedfba,"18/4/2026, 9:45:04 PM","18/4/2026, 9:45:04 PM",UPPRD_KHERI_NS917529,3ff253f7-fe78-4007-8761-b4d7539d1b7a,3440000,3440000,1800,n,,,4,D,NA,NA,MANTRA_IRIS,NA,NA,20280813,0,326,0,,,0,0,,0,,0,0,0,0,,0,,,9,201,,uid-auth-server-mndc-prod,"18/4/2026, 9:45:04 PM"
test-9a7062c9-b03d-4941-b2d2-274983500925,db0762c3ccb145a9a3f9f0572eefdfba,"18/4/2026, 9:45:06 PM","18/4/2026, 9:45:06 PM",UPPRD_KHERI_NS917529,8ac37d6f-708c-493d-a5af-8d1d5697543a,3440000,3440000,1800,n,,,4,D,NA,NA,PRECISION_PB510,NA,NA,20280813,0,326,0,,,0,0,,0,,0,0,0,0,,0,,,9,133,,uid-auth-server-mndc-prod,"18/4/2026, 9:45:06 PM"
test-8308b8ed-9684-495b-bb40-07782adfcb78,db0762c3ccb145a9a3f9f0572eefdfba,"18/4/2026, 9:45:07 PM","18/4/2026, 9:45:07 PM",UPPRD_KHERI_NS917529,962b434b-8fa3-4e2d-be63-f9059b533d3e,3440000,3440000,1800,n,,,4,D,NA,NA,EVOLUTE_RD_SERVICE,NA,NA,20280813,0,326,0,,,0,0,,0,,0,0,0,0,,0,,,9,165,,uid-auth-server-mndc-prod,"18/4/2026, 9:45:07 PM"
test-9b1f0801-ca6f-478d-970a-7d1c47cc2de1,db0762c3ccb145a9a3f0572eefdfba,"18/4/2026, 9:45:09 PM","18/4/2026, 9:45:09 PM",UPPRD_KHERI_NS917529,85aeb167-b758-4f34-9df2-2284003142b8,3440000,3440000,1800,n,,,4,D,NA,NA,MANTRA_MFS100,NA,NA,20280813,0,326,0,,,0,0,,0,,0,0,0,0,,0,,,9,146,,uid-auth-server-mndc-prod,"18/4/2026, 9:45:09 PM"
test-6ad7e73d-5dde-4aa0-be14-6fc30ad77912,db0762c3ccb145a9a3f9f0572eefdfba,"18/4/2026, 9:45:10 PM","18/4/2026, 9:45:10 PM",UPPRD_KHERI_NS917529,cec3b565-ebfe-4d92-8186-26125c29cc19,3440000,3440000,1800,n,,,4,D,NA,NA,SECUGEN_HAMSTER,NA,NA,20280813,0,326,0,,,0,0,,0,,0,0,0,0,,0,,,9,190,,uid-auth-server-mndc-prod,"18/4/2026, 9:45:10 PM"
test-e375566d-ae3b-415e-9730-37c39b20208b,db0762c3ccb145a9a3f9f0572eefdfba,"18/4/2026, 9:45:12 PM","18/4/2026, 9:45:12 PM",UPPRD_KHERI_NS917529,a72dde7a-7ffd-417e-ad6c-fb318f9b233c,3440000,3440000,1800,n,,,4,D,NA,NA,STARTEK_FM220,NA,NA,20280813,0,326,0,,,0,0,,0,,0,0,0,0,,0,,,9,121,,uid-auth-server-mndc-prod,"18/4/2026, 9:45:12 PM"
test-93267435-bfea-42cb-b471-ec9d274023b8,db0762c3ccb145a9a3f9f0572eefdfba,"18/4/2026, 9:45:13 PM","18/4/2026, 9:45:13 PM",UPPRD_KHERI_NS917529,eb6453a4-c849-4f74-ae47-dc815b9b3efc,3440000,3440000,1800,y,,,4,D,NA,NA,PRECISION_PB510,NA,NA,20280813,0,326,0,,,0,0,,0,,0,0,0,0,,0,,,9,175,,uid-auth-server-mndc-prod,"18/4/2026, 9:45:13 PM"
